Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
LMLS-400-1,LMLS-400-1,footCandles,,analogInput,presentValue,TRUE,4001,,LMLS-400
LMLS-400-2,LMLS-400-2,footCandles,,analogInput,presentValue,TRUE,4002,,LMLS-400
DIMMER-1,DIMMER-1,percent,(default 0.0),analogOutput,presentValue,TRUE,1,,Load 1
DIMMER-2,DIMMER-2,percent,(default 0.0),analogOutput,presentValue,TRUE,2,,Load 2
DIMMER-3,DIMMER-3,percent,(default 0.0),analogOutput,presentValue,TRUE,3,,Load 3
DIMMER-4,DIMMER-4,percent,(default 0.0),analogOutput,presentValue,TRUE,4,,Load 4
DIMMER-5,DIMMER-5,percent,(default 0.0),analogOutput,presentValue,TRUE,5,,Load 5
WATTAGE-1,WATTAGE-1,watts,,analogValue,presentValue,TRUE,1,,
WATTAGE-2,WATTAGE-2,watts,,analogValue,presentValue,TRUE,2,,
WATTAGE-3,WATTAGE-3,watts,,analogValue,presentValue,TRUE,3,,
VOLTAGE-1,VOLTAGE-1,volts,,analogValue,presentValue,TRUE,401,,Loads Voltage
VOLTAGE-2,VOLTAGE-2,volts,,analogValue,presentValue,TRUE,402,,Loads Voltage
VOLTAGE-3,VOLTAGE-3,volts,,analogValue,presentValue,TRUE,403,,Loads Voltage
CURRENT-1,CURRENT-1,amperes,,analogValue,presentValue,TRUE,501,,Loads Current
CURRENT-2,CURRENT-2,amperes,,analogValue,presentValue,TRUE,502,,Loads Current
CURRENT-3,CURRENT-3,amperes,,analogValue,presentValue,TRUE,503,,Loads Current
LOAD SHED LEVEL-1,LOAD SHED LEVEL-1,percent,,analogValue,presentValue,TRUE,601,,Loads Shed Level
LOAD SHED LEVEL-2,LOAD SHED LEVEL-2,percent,,analogValue,presentValue,TRUE,602,,Loads Shed Level
LOAD SHED LEVEL-3,LOAD SHED LEVEL-3,percent,,analogValue,presentValue,TRUE,603,,Loads Shed Level
LOAD SHED LEVEL-4,LOAD SHED LEVEL-4,percent,,analogValue,presentValue,TRUE,604,,Loads Shed Level
LOAD SHED LEVEL-5,LOAD SHED LEVEL-5,percent,,analogValue,presentValue,TRUE,605,,Loads Shed Level
MS/TP MAC,MS/TP MAC,noUnits,,analogValue,presentValue,TRUE,901,,MS/TP MAC Address
MS/TP BAUD,MS/TP BAUD,noUnits,,analogValue,presentValue,TRUE,902,,MS/TP Baud Rate
ROOM SIZE,ROOM SIZE,squareFeet,,analogValue,presentValue,TRUE,903,,Room Size
TOTAL ROOM WATTAGE,TOTAL ROOM WATTAGE,watts,,analogValue,presentValue,TRUE,904,,Room Power
ROOM WATTS PER SQFT,ROOM WATTS PER SQFT,wattsPerSquareFoot,,analogValue,presentValue,TRUE,905,,Room Power Density
TOTAL PLUGLOAD WATTAGE,TOTAL PLUGLOAD WATTAGE,watts,,analogValue,presentValue,TRUE,906,,Room Plug Power
OpenADR MEDIUM WATTS,OpenADR MEDIUM WATTS,watts,,analogValue,presentValue,TRUE,907,,OpenADR Medium - Room Target Watts
OpenADR HIGH WATTS,OpenADR HIGH WATTS,watts,,analogValue,presentValue,TRUE,908,,OpenADR High - Room Target Watts
OpenADR SPECIAL WATTS,OpenADR SPECIAL WATTS,watts,,analogValue,presentValue,TRUE,909,,OpenADR Special - Room Target Watts
OpenADR THRESHOLD WATTS,OpenADR THRESHOLD WATTS,watts,,analogValue,presentValue,TRUE,910,,OpenADR - Increase Wattage Threshold
ROOM RELIABILITY POLLING INTERVAL,ROOM RELIABILITY POLLING INTERVAL,minutes,,analogValue,presentValue,TRUE,911,,Room Reliability Polling Interval
MS/TP NODE COUNT,MS/TP NODE COUNT,noUnits,,analogValue,presentValue,TRUE,999,,Number of MS/TP Master Nodes
DAYLIGHT FADE RATE-1,DAYLIGHT FADE RATE-1,percentPerSecond,,analogValue,presentValue,TRUE,4101,,Daylight Fade Rate Up
DAYLIGHT FADE RATE-2,DAYLIGHT FADE RATE-2,percentPerSecond,,analogValue,presentValue,TRUE,4102,,Daylight Fade Rate Up
