Device number,Reference Point Name,BACnet Object Type,Index
1,energy_sum,analogInput,38
1,power_sum,analogInput,3
1,power_a,analogInput,4
1,power_b,analogInput,5
1,power_c,analogInput,6
1,voltage_avg,analogInput,15
1,voltage_a,analogInput,16
1,voltage_b,analogInput,17
1,voltage_c,analogInput,18
1,frequency,analogInput,23
1,energy_a_net,analogInput,41
1,energy_b_net,analogInput,42
1,energy_c_net,analogInput,43
1,energy_pos_sum,analogInput,39
1,energy_pos_sum_nr,analogInput,1
1,energy_reactive_sum,analogInput,50
1,energy_reactive_a,analogInput,51
1,energy_reactive_b,analogInput,52
1,energy_reactive_c,analogInput,53
1,power_factor_avg,analogInput,27
1,power_factor_a,analogInput,28
1,power_factor_b,analogInput,29
1,power_factor_c,analogInput,30
1,power_reactive_sum,analogInput,7
1,power_reactive_a,analogInput,8
1,power_reactive_b,analogInput,9
1,power_reactive_c,analogInput,10
1,current_a,analogInput,24
1,current_b,analogInput,25
1,current_c,analogInput,26
